1.1.toyota_sienna	1.0 0.708
1.0.toyota_vitz	12.0 6.855
2.0.toyota_hybrid_challenge	9.0 0.38
2.1.toyota_fortune	19.0 11.362
2.1.toyota_liteace	3.0 1.39
4.0.andalan_baru_double_cabin_toyota	3.0 0.771
4.0.toyota_announces	4.0 0.796
4.0.toyota_recalls	11.0 3.114
4.1.toyota_blue_grass_stakes	4.0 0.195
adx.2.0.jeff_wyler_toyota	2.0 0.425
adx.2.1.toyota_corona	2.0 0.131
adx.9.m.toyotaforklift.com	7.0 7.0
1.0.toyota_iq_ev	1.0 0.217
11.rt_tcuv_toyota_brand.retargcnt	62522.0 117100.0
2.0.toyota_texas_bass_classic_contact	3.0 2.163
2.1.gambar_mobil_toyota	3.0 3.0
2.1.production_toyota_ft	1.0 0.76
2.1.seguridad_toyota	15.0 5.16
2.1.toyota_motor_north_america	15.0 0.906
4.0.fletcher_toyota_dealership	1.0 0.402
4.0.toyota_kdh200	2.0 0.548
adx.2.1.toyota_engines	1.0 0.302
adx.4.1.toyota_nears_launch	2.0 0.442
2.0.embarrassing_recall_cripple_toyota	1.0 0.323
2.0.toyota_milano_viale_monza	2.0 1.014
2.1.toyota_special_offers	8.0 1.728
4.0.mvci_toyota_tishonda_hdsvolvo_dice_mvci	9.0 0.693
4.1.toyota_previa	150.0 21.551
9.downtowntoyota.ca	274.0 292.0
adx.4.1.toyota_gps_system	2.0 0.172
1.1.used_toyota	4.0 0.144
2.0.quality_toyota	2.0 0.278
2.0.toyota_altis	106.0 19.413
4.1.toyota_mini_vci	11.0 5.445
9.stage.baileytoyota.com	1.0 1.0
2.0.toyota_safety_features_star_safety_system	32.0 23.552
2.0.triple_plate_metal_clutch_kit_toyota	1.0 0.367
2.1.toyota_zimbabwe	3.0 2.25
4.0.toyota_ac	1.0 0.694
4.0.toyota_jeff_wyler_toyota	10.0 3.57
4.1.toyota_other_models	4.0 0.22
4.1.toyota_spacio	1.0 0.02
adx.1.1.toyota_land_cruiser	3.0 1.957
2.0.toyota_cetak_penjualan	2.0 0.33
2.0.toyota_four_runner	8.0 1.152
2.1.islamabad_toyota_mark	2.0 0.104
2.1.toyota_aygo	804.0 268.615
2.1.toyota_landcruiser	130.0 19.852
4.0.toyota_2000gt	1.0 0.2
4.0.toyota_india	2.0 0.144
4.0.toyota_returns	1.0 0.23
4.1.concessionaria_toyota_agrigento	5.0 1.915
4.1.toyota_engine	16.0 0.513
4.1.toyota_hondanissan	96.0 6.15
4.1.toyota_racing_series	1.0 0.026
adx.2.0.toyota_highlander	27.0 7.259
adx.2.0.toyota_land_cruise_prado	1.0 0.078
2.0.town_toyota_center	52.0 32.739
2.0.toyota_sponsors_yahoo	1.0 0.574
2.1.renault_toyota	1.0 0.202
2.1.toyota_way	78.0 7.872
4.1.texas_toyota	11.0 0.407
4.1.toyota_highlander_hybrid	225.0 10.0
9.toyotapr.badnss.com	1.0 4.0
9.wesleychapeltoyotanews.com	4.0 4.0
adx.2.0.panasonic_toyota_racing	1.0 0.128
adx.2.1.toyota_announces	1.0 0.199
adx.4.0.toyota	625.0 110.456
adx.4.0.toyota_division	1.0 0.027
adx.4.1.crash_sues_toyota	1.0 0.346
2.0.toyota_tis_toyota	1.0 0.457
2.0.vehculos_toyota	15.0 3.315
4.0.toyota_clica_usd	28.0 23.352
4.0.toyota_grand_new_fortuner_vnt_lebih_agresif	6.0 3.63
4.0.toyotacsr_toyota_csr	5.0 0.7
4.1.glenn_toyota	2.0 0.484
4.1.toyota_line	5.0 0.17
2.0.best_forklift_toyota_lift_trucks_rank_number	2.0 0.81
2.0.toyota_surf_white	2.0 0.094
2.1.der_toyota	1.0 0.046
2.1.toyota_clica_liftback	1.0 0.55
2.1.toyota_manufacturing_uk	2.0 0.054
4.0.used_toyota_surf	9.0 4.962
4.1.toyota_sverige	2.0 0.764
adx.1.1.toyota_tercel	1.0 0.071
adx.2.0.toyota_center	4.0 0.81
adx.2.0.toyota_lowers_prices	1.0 0.411
adx.2.1.toyota_case	1.0 0.18
1.0.toyota_fj_cruiser	2.0 0.854
2.0.toyota_informs_dealers	4.0 1.464
2.0.toyota_land_cruiser	1171.0 408.354
2.1.toyota_motorshow	1.0 0.048
2.1.videos_toyota	1.0 0.923
4.0.blitz_compressor_system_supercharger_kit_toyota_sxe10_ncp91_sort	1.0 0.113
4.0.toyota_fielder	5.0 2.428
9.blogtoyotaproductionsystem.blogspot.com.au	2.0 3.0
9.toyotaofmidland.net	43.0 44.0
adx.1.1.toyota_yaris	1.0 0.036
adx.2.0.tuned_toyota_gt86_drifting	1.0 0.624
2.0.toyota_safety	1.0 0.924
2.1.toyota_gt	753.0 195.987
2.1.toyota_industries_corporation	1.0 0.027
2.1.toyota_s800	25.0 0.625
4.0.concessionaria_toyota_l'aquila	1.0 0.383
4.1.lexus_toyota	1.0 0.031
4.1.toyota_auris_hybrid	40.0 21.306
9.toyotabedrijfswagens.nl	5.0 5.0
adx.1.0.toyota_motor_corp	1.0 0.04
adx.1.1.toyota_avalon	1.0 0.382
adx.2.0.toyota_estima	1.0 0.319
adx.4.0.toyota_verso	1.0 0.342
2.0.successful_jit_systems_toyota	32.0 10.744
2.1.sunshine_toyota_contact	5.0 3.04
4.0.toyota_camry_hybrid	184.0 59.8
4.0.toyota_prius	2600.0 765.769
4.0.toyota_ts030_hybrid	1.0 0.515
2.0.toyota_aygo	687.0 261.314
2.0.toyota_hondanissan	36.0 2.271
2.1.new_toyota_coupe	8.0 6.488
2.1.toyota_land_cruiser_70_series	17.0 5.444
4.0.auris_toyota	5.0 0.548
4.0.philips_toyotajeep_9006bv_philips_toyotayaris	4.0 1.196
4.1.toyota_crown_royal	11.0 2.373
9.toyotaairport.pakwheels.com	55.0 59.0
adx.2.0.toyota_group	2.0 0.074
1.0.call_toyota_vigo	1.0 0.113
2.0.toyota_eco_dealership_outlet	2.0 1.16
2.0.toyota_fs_cheetahs_u19_u21to	1.0 0.348
2.0.toyotacsr_toyota_csr	3.0 0.42
4.0.lowongan_toyota_auto	10.0 4.75
4.0.toyota_matures	1.0 0.128
4.0.toyota_year_model	1.0 0.059
4.1.toyota_corolla_altis	618.0 392.085
4.1.toyota_voxy	1.0 0.072
adx.4.0.new_toyota	5.0 0.774
adx.4.0.toyota_corolla_axio	2.0 0.234
1.0.texas_toyota	1.0 0.173
1.1.toyota_passo	4.0 1.448
2.0.karachi_classified_toyota_car	1.0 0.308
2.0.toyota_motors	53.0 5.023
2.0.toyota_publica_sports	1.0 0.452
4.0.okezone_autos_toyota	20.0 6.497
4.0.pt_toyota	4.0 0.236
4.0.toyota_chaser	6.0 1.446
4.0.toyota_line	5.0 0.17
adx.2.1.used_toyota_surf	1.0 0.451
2.0.toyota_starlet_glanza	12.0 10.644
2.1.toyota_origin	1.0 0.026
2.1.toyota_toyota_lpg	58.0 50.692
4.0.jeff_wyler_toyota	10.0 1.484
4.0.milton_toyota	28.0 7.426
4.0.toyota_industries_corporation	2.0 0.283
4.0.toyota_tyre_safety	1.0 0.04
4.1.toyota_targets	1.0 0.177
adx.2.0.toyota_case	1.0 0.18
adx.4.0.toyota_kills_plans	1.0 0.249
1.0.toyota_agya_pamer_diri	1.0 0.319
1.1.toyota_body_panels	1.0 0.943
2.1.casey_toyota	20.0 6.091
2.1.toyota_limo	2.0 0.896
2.1.toyota_starlet	105.0 22.125
4.0.dailytech_toyota_talks_plans	4.0 1.14
4.0.mu7_toyota_fotuner_suv	1.0 0.054
4.0.toyota_great_corolla_sedan	1.0 0.332
adx.2.0.toyota	1230.0 200.83
adx.4.0.toyota_altezza	4.0 0.531
4.0.dailytech_toyota	11.0 1.545
4.0.spesifikasi_mobil_murah_toyota_agya_indonesia	98.0 5.292
4.0.toyota_land_cruiser_70_series	7.0 2.492
4.0.toyota_model_prius	2.0 0.092
4.0.used_toyota_vigo	26.0 10.736
4.1.toyota_make	1.0 0.392
4.1.toyota_tv_mobil	1.0 0.206
1.1.toyota_hilux	12.0 3.314
2.0.toyota_ac	3.0 2.082
2.1.oem_toyota	12.0 0.432
4.0.toyota_corolla_fielder	7.0 0.428
4.0.toyota_ospedaletto_via_meucci	10.0 5.21
4.0.toyota_scion	65.0 7.046
4.1.toyota_afl_finals_series	1.0 0.036
4.1.toyota_angler	7.0 1.155
2.0.lowongan_toyota_auto	7.0 3.325
2.0.toyota_crown_royal	7.0 5.515
2.1.recalled_toyota12_toyota	1.0 0.078
2.1.toyota_corolla_altis	616.0 368.826
2.1.toyota_league_cup	33.0 1.502
4.0.jdm_toyota_mark	4.0 1.36
4.0.toyota_stadium	16.0 0.576
4.1.toyota_corolla_gt	6.0 0.501
4.1.toyota_motor_sales_usa	28.0 1.092
4.1.toyota_ts030	4.0 0.741
adx.1.0.toyota_tacoma	1.0 0.204
adx.4.0.toyota_tundra	56.0 19.885
4.0.toyota_europe	7.0 0.198
4.0.toyota_highlander	163.0 47.472
4.0.toyota_voxy	1.0 0.072
4.1.toyota_texas_bass	168.0 9.565
adx.2.1.toyota_motor_europe	1.0 0.146
1.0.toyota_urban_cruiser	1.0 0.133
2.0.toyota_special_offers	6.0 1.296
2.0.toyota_spruces	5.0 2.205
2.1.toyota_fun_vii	6.0 2.558
2.1.toyota_prado	532.0 102.801
adx.1.0.toyota	20.0 3.674
adx.4.1.toyota_motor_manufacturing_kentucky	1.0 0.023
1.1.toyota_cup	1.0 0.172
2.1.toyota_bandeirante	6.0 0.257
2.1.wyler_toyota	5.0 1.065
4.0.toyota_astra_motor_tam	20.0 0.46
4.0.toyota_quotes_online_confused.com	8.0 1.28
adx.4.0.toyota_celica	10.0 4.128
2.0.toyota_limo	2.0 0.896
2.0.toyota_sprinter_trueno	20.0 2.751
2.0.toyota_technical_center	29.0 1.457
2.1.toyota_techstream	15.0 0.885
2.1.toyota_tundra	735.0 208.645
4.0.toyota_kenya_jobs	1.0 0.044
4.0.toyota_texas_bass_classic_contact	1.0 0.721
4.1.perron_toyota	1.0 0.074
4.1.toyota_carina_ed	3.0 0.109
4.1.toyota_km0	39.0 9.119
4.1.toyota_speedway	3.0 0.08
adx.1.0.toyota_motor_manufacturing_canada	1.0 0.062
adx.2.1.new_toyota_specials	2.0 0.348
adx.4.0.toyota_safety_iihs_top_safety_picks	7.0 5.187
2.0.islamabad_toyota_mark	2.0 0.104
2.1.toyota_ramps	6.0 1.368
4.0.toyota_diesel_forklift	1.0 0.581
4.0.toyota_kenya_management	4.0 2.028
4.0.toyota_launches_ironman_versions	6.0 2.316
4.0.toyota_make	1.0 0.392
4.1.quickpic_the_toyota	2.0 0.306
9.wietzestoyota.com	130.0 147.0
adx.2.0.toyota_recall	7.0 2.655
adx.2.1.toyota_fj40	1.0 0.177
adx.4.1.toyota_canada	1.0 0.032
2.0.toyota_jzx81	3.0 1.029
2.0.toyota_twin_charged_gt86	2.0 1.05
2.1.toyota_venza	244.0 37.247
2.1.vendo_camioneta_toyota	1.0 0.446
4.0.toyota_nears_launch	29.0 6.409
4.1.concessionria_toyota	3.0 0.757
4.1.toyota_australia	136.0 8.047
4.1.toyota_publica	7.0 0.175
9.erniepalmertoyota.net	12.0 15.0
adx.2.0.toyota_aristo	1.0 0.225
adx.4.0.toyota_mark_ii	1.0 0.08
adx.4.1.toyota_gt86	5.0 1.564
2.0.toyota_home_japan	18.0 0.702
2.1.toyota_celica	721.0 230.416
2.1.toyota_ireland	3.0 0.219
2.1.toyota_norge	1.0 0.101
4.0.toyota_astra_motor_secretary	3.0 1.266
4.0.toyota_corona	5.0 0.674
4.0.toyota_cressida	19.0 1.866
4.0.toyota_team_europe	4.0 0.152
adx.2.1.toyota_motor_north_america	3.0 0.428
2.0.adriel_toyota	61.0 3.66
2.0.modified_toyota	2.0 0.57
2.0.rue_toyota_rue	5.0 0.253
2.0.toyota_clica_liftback	1.0 0.55
4.0.maketoyota_modelsolara_contactalex_shor	1.0 0.11
4.0.okezone_autos_toyota_punya_delapan_model_baru	5.0 2.645
4.0.toyota_doraemon	1.0 0.33
4.0.toyota_motor_manufacturing_canada	1.0 0.07
4.1.introduces_supercharged_toyota	1.0 0.383
4.1.toyota_calls_emperor	44.0 14.916
4.1.toyota_nothing_soft	1.0 0.422
4.1.toyota_solara	17.0 1.822
adx.1.1.toyota_camry	12.0 1.478
adx.2.0.toyota_cars_collection	2.0 0.326
2.0.toyota_paseo	5.0 1.078
4.0.1toyota	1.0 0.041
4.0.tansky_sawmill_toyota	1.0 0.084
4.0.toyota_announces_new_vehicle_development_strategy	1.0 0.67
4.0.toyota_new_vios_toyota_new_vios	6.0 0.678
4.1.toyota_corolla_e120	3.0 0.438
4.1.toyota_echo	3.0 0.932
4.1.toyota_fun	15.0 1.183
4.1.toyota_geneo_hybrid	1.0 0.543
4.1.toyota_india	2.0 0.144
9.naples.germaintoyotanews.com	22.0 22.0
adx.4.1.toyota_corolla_sprinter	1.0 0.82
adx.4.1.toyota_models	3.0 0.078
2.0.toyota_liteace	3.0 1.39
2.1.toyota_carina	19.0 1.719
2.1.toyota_leaders	1.0 0.357
4.0.mobil_murah_luncuran_toyota_toyota	1.0 0.088
4.1.toyota_car	9.0 0.786
adx.4.0.warrenton_toyota	23.0 6.025
adx.9.rodlandtoyotanews.com	2.0 2.0
2.0.toyota_dealers	1.0 0.048
2.0.toyota_etios	333.0 201.091
2.1.toyota_division	1.0 0.027
4.0.fundacin_toyota	2.0 1.608
4.0.toyota_yaris	1557.0 510.134
9.andymohrtoyotanews.net	11.0 12.0
adx.2.0.toyota_engines	1.0 0.302
adx.2.0.toyota_optimal_drive	4.0 0.388
1.1.quality_toyota	1.0 0.211
1.1.toyota_want_owners	2.0 0.57
2.0.toyota_announces_prices	1.0 0.401
2.0.toyota_new_vios_toyota_new_vios_toyota_new_vios_toyota_new_vios_toyota_new_vios_toyota_new_vios_toyota_new_vios_toyota_new_vios_toyota_new_vios_new_vios_toyota_new_vios	3.0 1.818
2.1.concessionria_toyota	59.0 24.341
2.1.toyota_corolla_sprinter	9.0 6.597
2.1.toyota_executive	1.0 0.19
2.1.toyota_soarer	24.0 5.111
4.0.lauren_toyota	2.0 0.994
4.0.toyota_forklift	1.0 0.022
4.1.toyota_trueno_ae86	97.0 59.483
adx.2.0.toyota_fj40	1.0 0.177
adx.4.0.toyota_trouble_code_definitions	3.0 1.155
adx.4.1.toyota_gets	1.0 0.24
1.0.toyota_way_articles	1.0 0.673
2.0.toyota_aqua_lebih_irit_murah	3.0 1.704
2.0.toyota_bahrain_ekkanoo_group	5.0 2.695
2.0.toyota_new_global_architecture	2.0 0.224
2.0.toyota_winglet	1.0 0.508
4.0.mcneil_racing_inc_toyota	11.0 2.871
4.0.sa_soil_toyota_gt	1.0 0.609
4.0.toyota_enthusiasts_club	2.0 0.738
9.mississaugatoyota.com	656.0 697.0
adx.4.0.toyota_motor	8.0 0.893
2.0.mobil_murah_toyota_akan	21.0 3.15
2.1.toyota_calls_emperor	1024.0 348.153
4.0.dakar_team_toyota	1.0 0.077
4.1.toyota_hiluxes	1.0 0.03
4.1.toyota_racing	32.0 2.002
adx.1.1.toyota_tundra	2.0 0.518
adx.2.0.toyota_trouble_code_definitions	3.0 0.693
adx.2.1.toyota_vellfire	1.0 0.248
adx.4.1.toyota_verso	1.0 0.342
adx.9.news.toyotaofgrapevine.com	12.0 12.0
2.0.toyota_dolphin	1.0 0.738
2.1.toyota_championship	2.0 0.324
2.1.toyota_van	6.0 0.168
4.0.malibu...chevy_dealers_put_toyota_camrys	1.0 0.417
4.0.toyota_kenya	4.0 0.16
4.1.cmo_toyota	8.0 1.992
4.1.toyota_auto	12.0 3.36
4.1.toyota_autoparts	2.0 0.368
4.1.toyota_prius	3379.0 791.501
2.1.charlesglen_toyota	34.0 12.342
2.1.toyota_boshoku_corporation	2.0 0.165
4.0.toyota_echo	2.0 0.901
9.toyotapark.rockandbus.com	1.0 1.0
2.0.toyota_parts	54.0 13.376
2.1.black_toyota_vigo	1.0 0.465
4.0.toyota_model_yaris	5.0 0.215
4.0.toyota_ramadan_millionaire	1.0 0.158
4.1.toyota_click_toyota	42.0 3.074
4.1.toyota_dealer	29.0 4.787
4.1.toyota_surf_surf	61.0 31.01
adx.4.1.toyota_motor_corporation	15.0 0.401
2.0.sexy_toyota_hybrids	1.0 0.832
2.1.toyota_line	2.0 0.068
4.0.sunshine_toyota_used_vehicles	14.0 10.416
4.0.toyota_sverige	2.0 0.764
4.0.toyota_way	54.0 5.291
4.1.tatort_toyota	13.0 1.521
4.1.toyota_corporation	225.0 4.689
9.coggintoyotanews.com	28.0 28.0
2.0.toyota_trueno_ae86	46.0 26.881
2.1.toyota_les_yaris	1.0 0.424
4.0.leadtour_brand_toyota_mark	1.0 0.038
4.1.toyota_news	2.0 0.093
9.pers.toyota.nl	109.0 112.0
adx.11.rt_toyota_camry.retargcnt	19.0 23.0
2.0.toyota_touch	55.0 15.539
4.1.destination_toyota_burnaby	1.0 0.418
adx.2.0.toyota_hilux	14.0 3.149
adx.2.1.toyota_motor_manufacturing_kentucky	2.0 0.192
1.0.manami_toyota	1.0 0.247
1.1.toyota_4runner	9.0 1.175
2.1.front_toyota_pradopakistan	5.0 0.19
4.0.gm_toyota	5.0 0.218
4.0.mobil_murah_luncuran_toyota	1.0 0.553
4.0.toyota_japan	7.0 0.248
4.1.toyota_autoparts_philippines	2.0 0.162
4.1.toyota_tazz	46.0 3.776
9.toyotacorollaecm.com	1.0 1.0
adx.2.0.toyota_corolla_levin	3.0 1.386
adx.2.1.toyota_hybrid	12.0 0.54
adx.2.1.toyota_reports_over	1.0 0.176
1.0.toyota_kenya_ltd_toyotsu_auto_mart_kenya_ltd	1.0 0.083
2.0.toyota_announced_limited_package	1.0 0.483
2.1.sumimoto_corporation_toyota	4.0 0.528
2.1.toyota_auris_hsd	21.0 3.25
2.1.toyota_trd_gt86	3.0 1.428
4.0.toyota_auto	12.0 3.36
4.0.toyota_dear_qin_toyota_yundong_shuangqing	1.0 0.576
4.0.toyota_texas_bass_classic_set	6.0 2.106
4.1.toyota_scion	81.0 7.544
1.0.toyota_financial	1.0 0.137
1.0.toyota_prius	18.0 5.34
2.1.toyota_hc_cv	10.0 2.52
4.1.gulf_states_toyota	27.0 0.995
4.1.toyota_manufacturing_uk	1.0 0.033
adx.4.1.toyota_kirloskar	1.0 0.212
2.0.toyota_avensis	342.0 148.389
2.0.toyota_double_din_facia_plates_toyota_connects2	1.0 0.168
2.0.toyota_gt86_toyota_gt86_toyota_gt86_toyota_gt86_toyota_gt86_toyota_gt86_toyota_gt86_toyota_gt86_toyota_gt86	1.0 0.763
2.1.southeast_toyota	1.0 0.035
2.1.toyota_voxy	21.0 1.512
4.1.toyota_news_information	28.0 1.12
4.1.toyota_succeed	1.0 0.406
2.0.astra_intl_tbk_toyota_sales_operation_hr_internship_vacancy	1.0 0.739
2.0.toyota_gt86_autorevue	5.0 1.827
2.0.toyota_line	2.0 0.068
2.0.toyota_motor_europe	11.0 1.62
2.1.exclusivetoyota_avanza	8.0 0.405
2.1.grand_new_toyota	2.0 0.15
4.0.mobil_toyota_agya	98.0 9.996
4.0.okezone_autos_toyota_aqua_bidik_konsumen_muda	2.0 1.382
4.0.toyota_j.d_power	2.0 1.262
adx.2.1.toyota_corolla	161.0 40.654
2.0.toyota_agya_mobil_murah_indonesia	88.0 38.61
2.0.toyota_starlet	95.0 21.697
2.1.toyota_corolla_matrix	1.0 0.041
2.1.toyotas	47.0 3.672
4.0.service_appointment_toyota_service	2.0 0.392
4.0.toyota_kalla	1.0 0.063
4.0.toyota_news	2.0 0.093
4.1.toyota_has_luxury	9.0 1.575
adx.2.1.toyota_ceo	1.0 0.197
1.0.toyota_previa	1.0 0.116
1.1.toyota_indus_corolla	1.0 0.036
2.0.toyota_motor_north_america	5.0 0.642
4.0.yaris_hsd_toyota	1.0 0.084
4.1.toyota_team_thailand	14.0 0.728
4.1.toyota_tis_techstream	11.0 1.54
adx.2.1.toyota_sienna	109.0 21.034
adx.9.toyotadealerlosangeles.net	2.0 2.0
1.1.toyota_motor_manufacturing_kentucky	4.0 0.384
1.1.toyota_vigo_vigo	3.0 0.498
2.0.investasi_toyota_bukti_iklim_investasi_makin_baik	1.0 0.797
2.0.new_toyota_specials	6.0 1.044
2.0.toyota_subaru_toyota_gt	3.0 0.216
2.1.toyota_homes	18.0 3.852
4.0.r15toyota_colorado_steel	12.0 0.42
4.0.toyota_tazz	27.0 3.239
4.0.used_toyota_mark	11.0 4.506
4.1.toyota_land_cruiser_200	1.0 0.037
4.1.toyota_pickup	62.0 3.36
2.0.front_logolampu_toyota_besar	1.0 0.934
2.0.toyota_gt86_coupe_price	1.0 0.034
2.1.toyota_stadium	8.0 0.288
4.0.toyota_camry	2564.0 778.039
4.0.toyota_motor_corporation	75.0 3.103
4.0.toyota_previews_generation_iii	6.0 1.194
4.0.toyota_racing_development	35.0 5.377
4.1.britcar_toyota_gt86	7.0 0.406
4.1.toyota_car_dealers	20.0 8.2
adx.1.0.toyota_calls_emperor	4.0 1.356
adx.2.0.casey_toyota_offers	5.0 0.105
adx.4.0.toyota_logo	1.0 0.044
1.0.toyota_engine	1.0 0.033
2.0.gulf_states_toyota	2.0 0.174
2.0.wv_toyota	1.0 0.047
2.1.mechanic_toyota	1.0 0.436
2.1.promozioni_toyota	1.0 0.143
2.1.toyota_corolla_axio	52.0 14.0
2.1.toyota_motor_sales	482.0 18.091
2.1.toyota_service_centres	2.0 0.132
4.0.trace_city_toyota	2.0 0.088
9.jeffwylerclarksvilletoyota.com	859.0 1011.0
adx.2.1.toyota_matrix	36.0 3.65
adx.4.0.toyota_hiccup	1.0 0.329
adx.4.1.toyota_way	1.0 0.08
2.0.toyota_voxy	21.0 1.512
2.1.toyota_kdh	1.0 0.581
4.0.toyota_rv	8.0 3.008
4.0.toyota_yaris_verso	13.0 0.966
adx.2.1.toyota_master	1.0 0.029
1.0.berlin_city_toyota	1.0 0.065
1.0.toyota_motor_corp	2.0 0.072
2.0.salvage_toyota	1.0 0.143
2.0.toyota_rav4_ev	275.0 74.469
2.1.toyota_fj_cruiser	867.0 241.512
4.1.toyota_dyna	23.0 1.568
1.0.watch_toyota	1.0 0.046
1.1.toyota_australia	1.0 0.056
1.1.toyota_forklift_safety	1.0 0.048
2.0.rene_isip_toyota	1.0 0.146
2.0.tmg_toyota_gt	1.0 0.09
2.1.btcc_toyotas	1.0 0.275
2.1.toyota_team_thailand	8.0 0.447
4.1.toyota_advantage_rav	1.0 0.248
4.1.toyota_avensis_verso	7.0 1.874
4.1.toyota_service_coupons	15.0 3.555
4.1.toyota_targets_millennials	2.0 0.504
adx.2.0.toyota_todos_vendo_repuestos_toyota_vendo	1.0 0.088
adx.2.1.toyota_fj	1.0 0.199
adx.2.1.toyota_motor_corp	28.0 1.036
1.1.sale_toyota	1.0 1.571
2.0.toyota_qualis	1.0 0.509
2.1.scion_toyota	1.0 0.064
2.1.toyota_hiccup	4.0 1.316
4.0.toyota_dealer_special_offers	7.0 1.435
4.0.toyota_platz	3.0 2.361
4.1.audi_replace_toyota	1.0 0.067
4.1.islands_toyota	20.0 19.278
4.1.toyota_replacement_engines	4.0 2.836
4.1.toyota_yaris	2073.0 530.616
adx.2.1.used_toyota_mark	1.0 0.426
2.0.gm_toyota	2.0 0.042
2.0.northpoint_toyota_fleet_prospect_branch	2.0 0.726
2.0.toyota_gives	1.0 0.274
2.0.toyota_km0	4.0 1.104
2.1.toyota_developing	11.0 2.761
4.0.inside_toyota	1.0 0.169
4.0.toyota_corolla	2834.0 1129.199
4.1.kendall_toyota	1.0 0.108
4.1.toyota_readies	1.0 0.142
adx.2.1.toyota_mark_ii	5.0 0.348
adx.4.0.toyota_innova	4.0 1.917
adx.4.0.used_toyota_cars	1.0 0.39
1.1.toyota_altis	1.0 0.083
2.0.toyota_car_dealers	5.0 1.811
2.0.toyota_hadirkan_hilux_terbaru	1.0 0.555
2.1.tmg_toyota	1.0 0.039
4.0.toyota_model_corolla_levin	8.0 0.4
4.1.toyota_chinook_motorhome	2.0 0.888
4.1.toyota_iq	142.0 61.684
adx.2.0.toyota_trd	5.0 1.95
adx.2.1.toyota_center_kennewick	1.0 0.02
adx.2.1.toyota_gt86	4.0 1.017
adx.4.1.manami_toyota	1.0 0.268
adx.4.1.toyota_division	1.0 0.027
adx.4.1.toyota_motor	13.0 1.003
adx.4.1.toyota_motor_manufacturing_canada	1.0 0.034
2.0.astra_intl_tbk_toyota_sales_operation	1.0 0.065
2.1.novidades_toyota	7.0 1.085
2.1.toyota_nadia	22.0 0.924
2.1.vehculos_toyota	15.0 3.315
4.0.toyota_1kd	1.0 0.041
4.0.toyota_texas_bass_classic_venue_restrictions	4.0 3.428
4.1.toyota_hiring	2.0 0.426
adx.2.1.toyota_automobile_museum	1.0 0.19
adx.9.warrentontoyota.com	35.0 41.0
2.1.toyota_crushed	1.0 0.22
4.0.toyota_technical_center	28.0 2.019
4.1.toyota_kenya	4.0 0.16
9.micmactoyota.com	4.0 4.0
adx.2.0.toyota_techstream	1.0 0.059
adx.2.1.toyota_production_system	17.0 0.867
adx.2.1.toyota_sequoia	4.0 0.528
adx.2.1.toyota_tercel	1.0 0.071
1.1.toyota_highlander	1.0 0.329
2.0.harga_toyota_agya	2.0 0.606
2.0.toyota_canada	6.0 1.441
2.0.toyota_leaders	1.0 0.357
2.0.toyota_recalls	10.0 2.879
2.1.toyota_advantage_rav	1.0 0.248
2.1.toyota_avensis_verso	11.0 2.839
2.1.toyota_echo	7.0 1.951
2.1.toyota_innova	886.0 142.588
2.1.toyota_sharelunker_program	6.0 0.316
2.1.toyota_ventury	3.0 2.436
4.0.stav_strashko_toyota	1.0 0.085
4.0.toyota_dyna	22.0 1.544
adx.2.0.toyota_informs_dealers	1.0 0.366
adx.4.0.toyota_axio	2.0 1.07
1.1.toyota_allion	3.0 0.885
1.1.toyota_hilux_surf	1.0 0.051
2.0.toyota_forklifts_rank_number	1.0 0.237
2.0.toyota_fun	8.0 1.98
2.1.toyota_clica_gt	1.0 0.632
4.0.toyota_cars_philippines	2.0 0.294
adx.2.1.toyota_avalon	47.0 8.088
1.0.sale_toyota	1.0 1.571
2.0.toyota_astra_motor_secretary	2.0 0.844
2.0.toyota_car	5.0 0.691
2.0.toyota_suv	2.0 0.118
4.0.toyota_sa	4.0 0.908
adx.2.0.toyota_camry_solara	2.0 0.148
adx.2.0.umw_toyota	1.0 0.052
1.0.toyota_yaris	5.0 0.818
1.1.toyota_center	4.0 0.217
2.1.toyota_hybrid_synergy	1.0 0.035
4.0.toyota_celica_supra	21.0 1.413
4.0.toyota_crown	23.0 7.282
4.0.toyota_ready	2.0 0.146
4.0.toyota_truck	5.0 1.473
4.1.toyota_todos_repuestos	39.0 3.9
adx.4.1.oem_toyota	1.0 0.036
adx.4.1.toyota_previa	11.0 0.276
2.0.toyota_models	334.0 17.986
2.0.toyota_tv_mobil	1.0 0.206
4.0.toyota_gps_system	10.0 0.86
4.1.new_toyota_coupe	3.0 2.433
9.northpointtoyota.com.au	295.0 975.0
adx.2.0.toyota_gt86	4.0 1.017
adx.2.1.toyota_ft	1.0 0.427
adx.2.1.toyota_levin	5.0 0.29
adx.4.0.toyota_developing	1.0 0.251
adx.4.1.toyota_financial_services	12.0 1.847
2.0.crawl_toyota	1.0 0.03
2.0.toyota_returns	2.0 0.46
4.0.toyota_reveals_dramatic_new	2.0 0.346
4.0.toyota_supra	962.0 265.481
4.0.toyota_townace	3.0 0.973
4.1.toyota_japan	10.0 0.336
adx.1.0.toyota_motor	1.0 0.074
adx.4.0.toyota_4runner	6.0 2.4
2.0.stav_strashko_toyota	1.0 0.085
2.0.toyota_corolla_gt	3.0 0.234
2.0.toyota_reports_over	2.0 0.352
